"COD1","COD2","NRODESP","CPBTE","ENTRADA","SALIDAS","STOCK","FECENT","FECUSAL"
"A","52","18001IC04080837W","90418","210","211","-1","2018-04-13","2018-10-29"
"A","52","19001IC04015932R","240119","307","307","0.0000","2019-01-28","2020-01-28"
"A","52","19001IC04158500Z","60919","259","259","0.0000","2019-09-11","2021-06-10"
"A","52","20001IC04111282E","200720","225","225","0.0000","2020-07-23","2021-06-04"
"A","52","20001IC04173188R","221020","200","200","0.0000","2020-10-28","2022-02-04"
"A","52","20001IC04192939W","181120","303","303","0.0000","2020-11-24","2022-07-14"
"A","52","21001IC04054806N","190321","250","250","0.0000","2021-03-23","2022-10-06"
"A","52","21001IC04161492N","240821","250","250","0.0000","2021-08-30","2023-02-09"
"A","52","21001IC04245806P","131221","225","225","0.0000","2021-12-17","2024-03-05"
"A","52","21001IC05014592M","280621","250","250","0.0000","2021-06-30","2023-08-10"
"A","52","22001IC04105136H","160522","225","225","0.0000","2022-05-20","2023-12-26"
"A","52","22001IC05023281X","260922","234","234","0.0000","2022-09-26","2024-06-25"
"A","52","23001IC04049866C","280323","267","267","0.0000","2023-03-30","2024-10-16"
"A","52","23001IC04174792W","181023","226","228","-2","2023-10-27","2024-10-15"
"A","53","11001IC04199085V","61011","202","202","0.0000","2011-10-11","2012-05-17"
"A","53","11001IC04236558S","231111","146","147","-1","2011-11-29","2013-03-04"
"A","53","16001IC04087468E","80916","300","300","0.0000","2016-09-12","2017-05-04"
"A","53","17001IC04058927D","290317","300","301","-1","2017-04-04","2018-01-30"
"A","53","17001IC04180892A","80917","263","264","-1","2017-09-15","2018-05-21"
"A","53","18001IC04080837W","90418","206","212","-6","2018-04-13","2018-10-22"
"A","53","19001IC04015932R","240119","185","186","-1","2019-01-28","2019-03-29"
"A","53","19001IC04158500Z","60919","518","518","0.0000","2019-09-11","2021-04-23"
